Id,IndicatorCode,SpatialDimension,WorldBankIncomeGroup,TimeDimension,TimeDim,DisaggregatingDimension1,Sex,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,Prevalence,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
15433360,NCD_BMI_30A,COUNTRY,SDF,YEAR,1975,SEX,Male,,,,,,,0.7 [0.2-1.9],0.7,0.2,1.9,,2017-01-05T16:05:02Z,1975,1975-01-01,1975-12-31
15433361,NCD_BMI_30A,COUNTRY,SDF,YEAR,1982,SEX,Male,,,,,,,0.9 [0.3-2.0],0.9,0.3,2.0,,2017-01-05T16:05:02Z,1982,1982-01-01,1982-12-31
15433362,NCD_BMI_30A,COUNTRY,SDF,YEAR,1988,SEX,Male,,,,,,,1.1 [0.5-2.3],1.1,0.5,2.3,,2017-01-05T16:05:02Z,1988,1988-01-01,1988-12-31
15433363,NCD_BMI_30A,COUNTRY,SDF,YEAR,1999,SEX,Male,,,,,,,1.9 [0.9-3.4],1.9,0.9,3.4,,2017-01-05T16:05:02Z,1999,1999-01-01,1999-12-31
15433364,NCD_BMI_30A,COUNTRY,SDF,YEAR,2007,SEX,Male,,,,,,,2.9 [1.6-4.9],2.9,1.6,4.9,,2017-01-05T16:05:02Z,2007,2007-01-01,2007-12-31
15433796,NCD_BMI_30A,COUNTRY,SDF,YEAR,1976,SEX,Male,,,,,,,0.7 [0.2-1.9],0.7,0.2,1.9,,2017-01-05T16:05:28Z,1976,1976-01-01,1976-12-31
15433797,NCD_BMI_30A,COUNTRY,SDF,YEAR,1978,SEX,Male,,,,,,,0.8 [0.2-1.9],0.8,0.2,1.9,,2017-01-05T16:05:28Z,1978,1978-01-01,1978-12-31
15433798,NCD_BMI_30A,COUNTRY,SDF,YEAR,1984,SEX,Male,,,,,,,1.0 [0.4-2.1],1.0,0.4,2.1,,2017-01-05T16:05:28Z,1984,1984-01-01,1984-12-31
15433799,NCD_BMI_30A,COUNTRY,SDF,YEAR,1993,SEX,Male,,,,,,,1.4 [0.6-2.7],1.4,0.6,2.7,,2017-01-05T16:05:29Z,1993,1993-01-01,1993-12-31
15433800,NCD_BMI_30A,COUNTRY,SDF,YEAR,2001,SEX,Male,,,,,,,2.1 [1.1-3.7],2.1,1.1,3.7,,2017-01-05T16:05:29Z,2001,2001-01-01,2001-12-31
15433801,NCD_BMI_30A,COUNTRY,SDF,YEAR,2010,SEX,Male,,,,,,,3.4 [1.8-5.7],3.4,1.8,5.7,,2017-01-05T16:05:29Z,2010,2010-01-01,2010-12-31
15434565,NCD_BMI_30A,COUNTRY,SDF,YEAR,1987,SEX,Male,,,,,,,1.1 [0.4-2.3],1.1,0.4,2.3,,2017-01-05T16:06:15Z,1987,1987-01-01,1987-12-31
15434566,NCD_BMI_30A,COUNTRY,SDF,YEAR,1994,SEX,Male,,,,,,,1.5 [0.7-2.8],1.5,0.7,2.8,,2017-01-05T16:06:15Z,1994,1994-01-01,1994-12-31
15434567,NCD_BMI_30A,COUNTRY,SDF,YEAR,1995,SEX,Male,,,,,,,1.6 [0.7-2.9],1.6,0.7,2.9,,2017-01-05T16:06:15Z,1995,1995-01-01,1995-12-31
15434568,NCD_BMI_30A,COUNTRY,SDF,YEAR,1996,SEX,Male,,,,,,,1.7 [0.8-3.1],1.7,0.8,3.1,,2017-01-05T16:06:15Z,1996,1996-01-01,1996-12-31
15434569,NCD_BMI_30A,COUNTRY,SDF,YEAR,2002,SEX,Male,,,,,,,2.2 [1.1-3.9],2.2,1.1,3.9,,2017-01-05T16:06:15Z,2002,2002-01-01,2002-12-31
15434570,NCD_BMI_30A,COUNTRY,SDF,YEAR,2011,SEX,Male,,,,,,,3.6 [1.9-6.1],3.6,1.9,6.1,,2017-01-05T16:06:15Z,2011,2011-01-01,2011-12-31
15434993,NCD_BMI_30A,COUNTRY,SDF,YEAR,1981,SEX,Male,,,,,,,0.9 [0.3-2.0],0.9,0.3,2.0,,2017-01-05T16:06:42Z,1981,1981-01-01,1981-12-31
15434994,NCD_BMI_30A,COUNTRY,SDF,YEAR,1990,SEX,Male,,,,,,,1.3 [0.5-2.5],1.3,0.5,2.5,,2017-01-05T16:06:42Z,1990,1990-01-01,1990-12-31
15434995,NCD_BMI_30A,COUNTRY,SDF,YEAR,1998,SEX,Male,,,,,,,1.8 [0.9-3.3],1.8,0.9,3.3,,2017-01-05T16:06:42Z,1998,1998-01-01,1998-12-31
15434996,NCD_BMI_30A,COUNTRY,SDF,YEAR,2013,SEX,Male,,,,,,,4.0 [2.0-6.8],4.0,2.0,6.8,,2017-01-05T16:06:42Z,2013,2013-01-01,2013-12-31
15435398,NCD_BMI_30A,COUNTRY,SDF,YEAR,1979,SEX,Male,,,,,,,0.8 [0.2-1.9],0.8,0.2,1.9,,2017-01-05T16:07:07Z,1979,1979-01-01,1979-12-31
15435399,NCD_BMI_30A,COUNTRY,SDF,YEAR,2004,SEX,Male,,,,,,,2.5 [1.3-4.2],2.5,1.3,4.2,,2017-01-05T16:07:08Z,2004,2004-01-01,2004-12-31
15436875,NCD_BMI_30A,COUNTRY,SDF,YEAR,1978,SEX,Female,,,,,,,2.1 [0.7-4.4],2.1,0.7,4.4,,2017-01-05T16:08:38Z,1978,1978-01-01,1978-12-31
15436876,NCD_BMI_30A,COUNTRY,SDF,YEAR,1981,SEX,Female,,,,,,,2.4 [1.0-4.6],2.4,1.0,4.6,,2017-01-05T16:08:38Z,1981,1981-01-01,1981-12-31
15437279,NCD_BMI_30A,COUNTRY,SDF,YEAR,1975,SEX,Female,,,,,,,1.7 [0.5-4.1],1.7,0.5,4.1,,2017-01-05T16:09:03Z,1975,1975-01-01,1975-12-31
15437699,NCD_BMI_30A,COUNTRY,SDF,YEAR,1992,SEX,Female,,,,,,,4.0 [2.2-6.4],4.0,2.2,6.4,,2017-01-05T16:09:30Z,1992,1992-01-01,1992-12-31
15438096,NCD_BMI_30A,COUNTRY,SDF,YEAR,2011,SEX,Female,,,,,,,10.4 [6.6-15.0],10.4,6.6,15.0,,2017-01-05T16:09:59Z,2011,2011-01-01,2011-12-31
15438178,NCD_BMI_30A,COUNTRY,SDF,YEAR,1999,SEX,Female,,,,,,,5.8 [3.6-8.8],5.8,3.6,8.8,,2017-01-05T16:10:05Z,1999,1999-01-01,1999-12-31
15438188,NCD_BMI_30A,COUNTRY,SDF,YEAR,2001,SEX,Female,,,,,,,6.5 [4.0-9.5],6.5,4.0,9.5,,2017-01-05T16:10:05Z,2001,2001-01-01,2001-12-31
15438189,NCD_BMI_30A,COUNTRY,SDF,YEAR,2007,SEX,Female,,,,,,,8.6 [5.5-12.4],8.6,5.5,12.4,,2017-01-05T16:10:06Z,2007,2007-01-01,2007-12-31
15438522,NCD_BMI_30A,COUNTRY,SDF,YEAR,1998,SEX,Female,,,,,,,5.5 [3.4-8.4],5.5,3.4,8.4,,2017-01-05T16:10:31Z,1998,1998-01-01,1998-12-31
15438555,NCD_BMI_30A,COUNTRY,SDF,YEAR,2010,SEX,Female,,,,,,,9.9 [6.4-14.3],9.9,6.4,14.3,,2017-01-05T16:10:33Z,2010,2010-01-01,2010-12-31
