Id,IndicatorCode,SpatialDimension,WorldBankIncomeGroup,TimeDimension,TimeDim,DisaggregatingDimension1,Sex,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,Prevalence,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
16080814,NCD_BMI_18A,REGION,GLOBAL,YEAR,1975,SEX,BothSexes,,,,,,,14.3 [12.3-16.3],14.3,12.3,16.3,,2017-09-22T12:00:48Z,1975,1975-01-01,1975-12-31
16080815,NCD_BMI_18A,REGION,GLOBAL,YEAR,1976,SEX,BothSexes,,,,,,,14.2 [12.3-16.1],14.2,12.3,16.1,,2017-09-22T12:00:48Z,1976,1976-01-01,1976-12-31
16080816,NCD_BMI_18A,REGION,GLOBAL,YEAR,1977,SEX,BothSexes,,,,,,,14.0 [12.3-15.8],14.0,12.3,15.8,,2017-09-22T12:00:48Z,1977,1977-01-01,1977-12-31
16080817,NCD_BMI_18A,REGION,GLOBAL,YEAR,1978,SEX,BothSexes,,,,,,,13.9 [12.2-15.6],13.9,12.2,15.6,,2017-09-22T12:00:48Z,1978,1978-01-01,1978-12-31
16080818,NCD_BMI_18A,REGION,GLOBAL,YEAR,1979,SEX,BothSexes,,,,,,,13.8 [12.2-15.4],13.8,12.2,15.4,,2017-09-22T12:00:48Z,1979,1979-01-01,1979-12-31
16080819,NCD_BMI_18A,REGION,GLOBAL,YEAR,1980,SEX,BothSexes,,,,,,,13.7 [12.1-15.2],13.7,12.1,15.2,,2017-09-22T12:00:48Z,1980,1980-01-01,1980-12-31
16080820,NCD_BMI_18A,REGION,GLOBAL,YEAR,1981,SEX,BothSexes,,,,,,,13.5 [12.1-15.0],13.5,12.1,15.0,,2017-09-22T12:00:48Z,1981,1981-01-01,1981-12-31
16080821,NCD_BMI_18A,REGION,GLOBAL,YEAR,1982,SEX,BothSexes,,,,,,,13.4 [12.0-14.8],13.4,12.0,14.8,,2017-09-22T12:00:48Z,1982,1982-01-01,1982-12-31
16080822,NCD_BMI_18A,REGION,GLOBAL,YEAR,1983,SEX,BothSexes,,,,,,,13.3 [12.0-14.6],13.3,12.0,14.6,,2017-09-22T12:00:48Z,1983,1983-01-01,1983-12-31
16080823,NCD_BMI_18A,REGION,GLOBAL,YEAR,1984,SEX,BothSexes,,,,,,,13.2 [11.9-14.4],13.2,11.9,14.4,,2017-09-22T12:00:48Z,1984,1984-01-01,1984-12-31
16080824,NCD_BMI_18A,REGION,GLOBAL,YEAR,1985,SEX,BothSexes,,,,,,,13.0 [11.9-14.2],13.0,11.9,14.2,,2017-09-22T12:00:48Z,1985,1985-01-01,1985-12-31
16080825,NCD_BMI_18A,REGION,GLOBAL,YEAR,1986,SEX,BothSexes,,,,,,,12.9 [11.8-14.1],12.9,11.8,14.1,,2017-09-22T12:00:48Z,1986,1986-01-01,1986-12-31
